genres
432hz
[]
a cappella
redneck
reggae
reggae en espanol
reggae fusion
reggae rock
reggaeton
reggaeton chileno
reggaeton flow
regional mexican
regional mexican pop
relaxative
renaissance
retro metal
retro soul
rhode island indie
rhythm and blues
riddim
rif
riot grrrl
ritmo kombina
rochester mn indie
rochester ny indie
rock
rock alternatif francais
rock alternativo brasileiro
rock andaluz
rock chapin
rock cristiano
rock drums
rock en espanol
rock gaucho
rock nacional
rock nacional brasileiro
rock steady
rock urbano mexicano
rock-and-roll
rockabilly
rockabilly en espanol
roda de samba
romanian folk
romanian hip hop
romanian pop
romanian rock
romantico
roots americana
roots reggae
roots rock
roots worship
rosary
rumba
rumba congolaise
rune folk
russian alternative
russian ccm
russian chanson
russian contemporary classical
russian dance
russian folk
russian hip hop
russian jazz
russian metal
russian modern classical
russian pop
russian post-punk
russian punk
russian rock
russian romanticism
russian shoegaze
rva indie
rwandan traditional
ryukyu ongaku
sacramento indie
sacred steel
salsa
salsa choke
salsa colombiana
salsa cubana
salsa international
salsa peruana
salsa puertorriquena
salsa venezolana
samba
samba de roda
samba-enredo
samba-rock
san diego indie
san diego rap
san marcos tx indie
sandalwood
sarod
saskatchewan indie
scandinavian r&b
scandipop
schlager
scorecore
scottish electronic
scottish fiddle
scottish folk
scottish hip hop
scottish indie
scottish metal
scottish new wave
scottish rock
scottish singer-songwriter
scratch
scream rap
screamo
seattle indie
second line
sefardi
semba
serialism
sertanejo
sertanejo pop
sertanejo tradicional
sertanejo universitario
sevdah
sevillanas
shaabi
shabad
shakuhachi
shamanic
shanty
sheffield indie
shibuya-kei
shimmer pop
shimmer psych
shiver pop
shoegaze
show tunes
shred
shush
singaporean mandopop
singaporean pop
singaporean singer-songwriter
singer-songwriter
singing bowl
sitar
ska
ska argentino
ska jazz
ska mexicano
ska punk
ska revival
skate punk
skiffle
skramz
