artists,popularity,genres
Adrianne Pieczonka,45,['classical soprano']
Adriano Banchieri,0,"['early music', 'renaissance']"
Adriano Celentano,38.5,"['classic italian pop', 'italian pop']"
Adriel Favela,62.4,"['corridos tumbados', 'regional mexican pop']"
Adrienne Albert,0,['american contemporary classical']
Adrián Patiño,0,['latin classical']
Adventure Club,53.5,"['brostep', 'canadian electronic', 'chillstep', 'complextro', 'edm', 'electro house', 'electronic trap', 'filthstep', 'melodic dubstep', 'pop edm']"
Aegis,47,"['classic opm', 'opm', 'pinoy rock']"
Aer,52.5,"['album rock', 'classic rock', 'hard rock', 'rock']"
Aero Chord,62,"['bass trap', 'catstep', 'edm', 'gaming edm', 'traprun']"
Aerodrom,32,"['croatian rock', 'yugoslav rock']"
Aerosmith,40.3409090909,"['album rock', 'classic rock', 'hard rock', 'rock']"
Aesop Rock,42.7777777778,"['abstract hip hop', 'alternative hip hop', 'conscious hip hop', 'escape room', 'hip hop']"
Afife Hanım,0,[]
Afric Simone,42,[]
African Doctor,0,[]
Africando,35,"['latin jazz', 'mambo', 'salsa', 'tropical']"
Afrika 70,21,[]
